agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
778, 22, 20, 98, 1234, 44, 60, 123, 856, 44, 56, 142
145, 32, 0, 0, 95, 25, 0, 0, 517, 123, 0, 0
762, 25, 44, 76, 228, 20, 23, 15, 126, 9, 17, 8
880, 21, 39, 76, 212, 15, 15, 11, 126, 9, 10, 9
289, 49, 0, 0, 211, 43, 0, 0, 541, 104, 0, 0
472, 21, 20, 39, 58, 7, 2, 4, 112, 7, 8, 8
297, 58, 0, 0, 123, 22, 0, 0, 61, 12, 0, 0
144, 8, 9, 8, 126, 7, 7, 7, 52, 4, 5, 2
190, 16, 18, 12, 280, 20, 21, 18, 304, 19, 30, 18
1351, 26, 58, 133, 295, 23, 20, 16, 385, 28, 37, 20
