agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
26, 2, 3, 1, 46, 4, 2, 1, 580, 34, 60, 45
408, 82, 0, 0, 76, 19, 0, 0, 132, 25, 0, 0
2317, 52, 53, 250, 5, 0, 2, 0, 33, 1, 5, 3
190, 10, 12, 17, 318, 22, 19, 25, 1784, 69, 129, 378
529, 25, 31, 53, 651, 44, 62, 43, 879, 49, 99, 123
113, 4, 9, 5, 977, 34, 43, 66, 97, 4, 10, 4
208, 46, 0, 0, 66, 14, 0, 0, 102, 26, 0, 0
25, 6, 0, 0, 687, 136, 0, 0, 517, 112, 0, 0
1507, 22, 78, 165, 1435, 44, 78, 135, 259, 14, 29, 20
1738, 58, 84, 89, 530, 34, 42, 9, 688, 56, 65, 37
