agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,        agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
88, 21, 17, 50, 166, 42, 51, 73, 301, 37, 67, 197
41, 41, 0, 0, 10, 10, 0, 0, 32, 32, 0, 0
8, 8, 0, 0, 49, 49, 0, 0, 6, 6, 0, 0
51, 51, 0, 0, 185, 185, 0, 0, 5, 5, 0, 0
39, 39, 0, 0, 95, 95, 0, 0, 20, 20, 0, 0
42, 12, 8, 22, 77, 24, 24, 29, 28, 7, 7, 14
149, 27, 54, 68, 8, 3, 4, 1, 15, 4, 4, 7
18, 18, 0, 0, 12, 12, 0, 0, 12, 12, 0, 0
33, 13, 12, 8, 18, 6, 8, 4, 38, 8, 16, 14
59, 8, 9, 42, 11, 5, 3, 3, 45, 8, 7, 30
226, 20, 42, 164, 527, 60, 126, 341, 481, 40, 90, 351
25, 25, 0, 0, 12, 12, 0, 0, 15, 15, 0, 0
150, 15, 43, 92, 30, 8, 13, 9, 131, 12, 31, 88
59, 17, 19, 23, 257, 34, 76, 147, 52, 14, 18, 20
181, 17, 42, 122, 8, 2, 1, 5, 39, 6, 9, 24
55, 21, 19, 15, 65, 25, 24, 16, 391, 54, 113, 224
17, 3, 8, 6, 91, 16, 46, 29, 4, 0, 1, 3
30, 7, 10, 13, 12, 6, 3, 3, 352, 28, 85, 239
25, 7, 11, 7, 28, 19, 4, 5, 54, 20, 18, 16
347, 42, 85, 220, 21, 4, 13, 4, 144, 17, 44, 83
7, 4, 1, 2, 3, 1, 1, 1, 17, 5, 3, 9
105, 15, 34, 56, 125, 30, 53, 42, 17, 6, 6, 5
60, 14, 28, 18, 50, 12, 25, 13, 70, 6, 29, 35
46, 3, 16, 27, 45, 6, 24, 15, 48, 3, 17, 28
16, 3, 9, 4, 50, 8, 29, 13, 274, 16, 72, 186
66, 66, 0, 0, 68, 68, 0, 0, 54, 54, 0, 0
11, 11, 0, 0, 7, 7, 0, 0, 17, 17, 0, 0
45, 17, 17, 11, 59, 20, 25, 14, 250, 33, 71, 146
58, 58, 0, 0, 48, 48, 0, 0, 117, 117, 0, 0
9, 2, 3, 4, 10, 3, 2, 5, 114, 16, 23, 75
11, 5, 2, 4, 5, 1, 2, 2, 305, 46, 58, 201
103, 14, 22, 67, 175, 28, 66, 81, 77, 9, 21, 47
361, 52, 57, 252, 754, 104, 152, 498, 120, 21, 25, 74
211, 21, 30, 160, 13, 6, 2, 5, 33, 9, 6, 18
36, 36, 0, 0, 43, 43, 0, 0, 51, 51, 0, 0
4, 1, 0, 3, 261, 50, 99, 112, 249, 27, 81, 141
28, 28, 0, 0, 57, 57, 0, 0, 27, 27, 0, 0
511, 42, 131, 338, 305, 42, 107, 156, 36, 7, 18, 11
158, 24, 18, 116, 10, 5, 2, 3, 12, 5, 3, 4
145, 145, 0, 0, 57, 57, 0, 0, 55, 55, 0, 0
