agent8_2.actions,agent8_2.flat_exam, agent8_2.hilly_exam, agent8_2.forest_exam
51561,1326,2209,3668
3974,341,302,211
7631,1705,0,0
6597,496,586,394
15740,3227,0,0
96,28,0,0
11379,2495,0,0
6017,1398,0,0
1020,69,94,46
22361,1076,1235,1552
26211,1192,1258,1876
12161,878,948,735
8142,586,645,496
4307,986,0,0
7908,1799,0,0
4343,1024,0,0
2284,526,0,0
26983,5296,0,0
31599,1188,1892,2128
1273,313,0,0
1607,111,145,111
2464,194,210,158
3424,824,0,0
7837,586,694,458
22068,1067,1292,1525
33982,1255,1882,2107
37003,1176,1863,2500
7841,569,688,515
33773,1192,1850,2307
160,44,0,0
11657,823,943,757
99177,1725,2966,5936
2747,204,243,171
16485,1027,1166,1077
5650,1338,0,0
8220,572,756,491
4323,1055,0,0
5003,389,457,294
9054,674,785,562
27617,1234,1558,1998
11473,811,965,659
1953,145,165,140
9940,794,814,630
4802,346,462,308
5862,422,492,367
5449,406,479,319
6704,461,580,441
13138,911,1102,812
1916,462,0,0
263818,2658,4848,14176
18334.68,Avg,,
