agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam,,Agent6_Movement/examinations,Agent7_Movement/examinations,Agent8_Movement/examinations,Total examinations 6,Total examinations 7,Total examinations 7
23685,558,564,1908,41925,1116,1692,2536,11467,702,1005,981,20655,6.81683168316832,6.84524700598802,3.26599702380952,3030,5344,2688
36948,553,1154,2819,25516,1106,1154,1490,14564,906,1305,1319,32422,7.16349977905435,5.80426666666667,3.1257790368272,4526,3750,3530
70610,1083,1701,4528,5648,358,369,319,3146,199,313,201,63298,8.65672866520788,4.39961759082218,3.41234221598878,7312,1046,713
54989,534,1515,3982,49627,1068,1515,3214,14789,891,1244,1520,48958,8.11772508705024,7.560807314128,3.04623803009576,6031,5797,3655
9715,565,573,535,3405,213,221,180,1095,75,111,57,8042,4.80693365212194,4.54560260586319,3.50617283950617,1673,614,243
11864,570,620,788,18128,908,1240,852,16232,910,1531,1733,9886,4.99797775530839,5.04266666666667,2.88883564925731,1978,3000,4174
6093,1077,0,0,7797,1405,0,0,3075,631,0,0,5016,4.65738161559889,4.54946619217082,3.87321711568938,1077,1405,631
4751,918,0,0,20701,3603,0,0,2841,571,0,0,3833,4.17538126361656,4.74548986955315,3.97548161120841,918,3603,571
2052,364,0,0,9244,1571,0,0,11996,2438,0,0,1688,4.63736263736264,4.88415022278803,3.92042657916325,364,1571,2438
15820,2861,0,0,4980,939,0,0,6266,1297,0,0,12959,4.52953512757777,4.30351437699681,3.83114880493446,2861,939,1297
137027,1476,2845,8745,1115,64,80,72,6919,420,613,542,123961,9.48729527016685,4.16203703703704,3.39301587301587,13066,216,1575
76555,1182,1701,5665,69529,1182,2268,4919,343,23,34,22,68007,7.95589611605054,7.30792209344008,3.34177215189873,8548,8369,79
38959,555,1086,2615,27491,1110,1086,1421,10029,642,914,708,34703,8.15390037593985,6.60049764998618,3.4297703180212,4256,3617,2264
2882,172,182,207,30542,1128,1473,1779,23184,1132,1917,3304,2321,4.13725490196078,5.97305936073059,2.64929954352274,561,4380,6353
31222,588,877,2276,1818,105,117,97,2358,131,220,154,27481,7.34589681903234,4.69905956112853,3.66930693069307,3741,319,505
8861,1547,0,0,9425,1634,0,0,10377,2124,0,0,7314,4.7278603749192,4.76805385556916,3.88559322033898,1547,1634,2124
58758,545,1624,3878,287138,2725,5781,14958,5158,334,433,367,52711,8.71688440549033,11.2373849301057,3.54850088183422,6047,23464,1134
7847,436,453,465,3777,233,242,185,9905,544,844,688,6493,4.79542097488922,4.72272727272727,3.77119460500963,1354,660,2076
13354,565,546,894,6968,445,429,372,6058,376,550,416,11349,5.66034912718204,4.59229534510433,3.51415797317437,2005,1246,1342
1960,109,114,148,4670,277,283,265,1698,108,143,110,1589,4.28301886792453,4.66060606060606,3.70360110803324,371,825,361
24952,550,570,1795,25698,1100,1140,1332,16524,959,1425,1613,22037,7.5598627787307,6.1942889137738,3.13410057543157,2915,3572,3997
74452,887,1659,4552,18948,941,1106,877,1330,102,105,76,67354,9.48915187376726,5.48016415868673,3.69964664310954,7098,2924,283
32206,572,840,2196,30994,1144,1343,1647,14160,904,1257,1266,28598,7.92627494456763,6.49733913884857,3.1318937846513,3608,4134,3427
32782,572,859,2272,56260,1144,1903,3408,18692,1059,1546,2101,29079,7.85282203618688,7.71572424477149,2.97195070123247,3703,6455,4706
25798,540,528,2033,1890,122,116,121,23600,1115,1882,3346,22697,7.31925185424057,4.26462395543176,2.72063692259183,3101,359,6343
1886,105,112,120,5682,363,359,355,9442,591,851,897,1549,4.59643916913947,4.27576601671309,3.03676784950834,337,1077,2339
5206,931,0,0,5500,991,0,0,9718,2030,0,0,4275,4.59183673469388,4.54994954591322,3.7871921182266,931,991,2030
7893,464,479,523,42105,1134,1713,2645,11723,761,1037,992,6427,4.38403819918145,6.66660597232338,3.20179211469534,1466,5492,2790
7461,1305,0,0,12459,1908,0,0,2763,516,0,0,6156,4.71724137931035,5.52987421383648,4.3546511627907,1305,1908,516
1691,110,102,117,809,59,53,55,779,44,72,60,1362,4.13981762917933,3.84431137724551,3.42613636363636,329,167,176
63851,1196,1875,4458,18683,946,1250,896,24079,1272,2199,3216,56322,7.48067472439899,5.04236739974127,2.60086735456857,7529,3092,6687
6098,1129,0,0,2198,410,0,0,1414,276,0,0,4969,4.40124003542958,4.3609756097561,4.1231884057971,1129,410,276
14982,576,558,1021,4346,302,250,213,18786,1073,1566,2105,12827,5.95220417633411,4.68104575163399,2.95994940978078,2155,765,4744
3803,771,0,0,9915,1747,0,0,4885,1001,0,0,3032,3.9325551232166,4.67544361763022,3.88011988011988,771,1747,1001
23182,560,547,1856,99996,1680,2735,5895,22112,1107,1780,3212,20219,6.82382720215997,8.69893307468477,2.62551237907854,2963,10310,6099
7793,439,506,446,16213,654,1146,663,21137,1075,1862,2557,6402,4.60244428468728,5.58262281770199,2.84728795049145,1391,2463,5494
4849,293,321,303,53571,1072,1803,3588,9773,541,877,979,3932,4.28789531079607,7.28887513538604,3.07717980809345,917,6463,2397
1186,82,73,80,4992,318,334,305,8184,507,803,624,951,4.0468085106383,4.21630094043887,3.23164426059979,235,957,1934
74341,799,1611,4528,7083,446,441,411,6911,474,599,438,67403,9.71504756413952,4.45685670261941,3.57379219060225,6938,1298,1511
5414,322,314,338,45164,1154,1638,2618,11888,763,1039,1015,4440,4.55852156057495,7.34824399260628,3.22009229676961,974,5410,2817
42550,567,1076,3085,49060,1134,1614,3069,6450,421,556,503,37822,7.99957698815567,7.4339006360667,3.35810810810811,4728,5817,1480
8155,1438,0,0,6675,1212,0,0,23251,5165,0,0,6717,4.67107093184979,4.50742574257426,3.50164569215876,1438,1212,5165
8317,1546,0,0,8911,1615,0,0,12295,2602,0,0,6771,4.37968952134541,4.51764705882353,3.72521137586472,1546,1615,2602
3743,203,236,229,2517,146,174,146,2605,151,202,159,3075,4.60329341317365,4.40128755364807,4.087890625,668,466,512
206447,1734,4018,11990,6551,415,413,351,9349,558,868,688,188705,10.6360613234134,4.55640373197625,3.42242194891202,17742,1179,2114
6265,400,382,425,16227,717,1132,766,8865,540,810,650,5058,4.19055509527755,5.20535372848948,3.4325,1207,2615,2000
6266,420,387,399,6636,433,425,390,4176,286,350,263,5060,4.19568822553897,4.31730769230769,3.64516129032258,1206,1248,899
8595,1569,0,0,13525,2513,0,0,4947,1049,0,0,7026,4.47801147227534,4.38201352964584,3.71591992373689,1569,2513,1049
905,158,0,0,18615,3186,0,0,9251,1818,0,0,747,4.72784810126582,4.84274952919021,4.08855885588559,158,3186,1818
108219,1132,2320,7701,8821,540,553,507,577,35,37,33,97066,8.70312920290505,4.513125,4.4952380952381,11153,1600,105
31793,534,796,2252,7207,423,436,383,5321,338,481,325,28211,7.87576772752652,4.80273752012882,3.65122377622378,3582,1242,1144
66122,822,1803,4344,1940,143,121,127,1838,121,150,120,59153,8.4880183670541,3.9616368286445,3.70076726342711,6969,391,391
6897,414,438,433,17067,762,1172,810,6033,403,521,394,5612,4.36731517509728,5.21975218658892,3.57738998482549,1285,2744,1318
4602,290,293,299,44386,1144,1629,3138,20482,1115,1648,2742,3720,4.21768707482993,6.50905092200981,2.72061762034514,882,5911,5505
3129,206,217,175,83131,1648,2408,4896,341,22,40,21,2531,4.23244147157191,8.28630473637176,3.10843373493976,598,8952,83
7021,1303,0,0,6043,1081,0,0,6861,1390,0,0,5718,4.38833461243285,4.59019426456984,3.93597122302158,1303,1081,1390
4152,799,0,0,5262,965,0,0,4852,1027,0,0,3353,4.19649561952441,4.45284974093264,3.72444011684518,799,965,1027
3815,750,0,0,9245,1681,0,0,5769,1164,0,0,3065,4.08666666666667,4.49970255800119,3.95618556701031,750,1681,1164
5317,1031,0,0,2177,448,0,0,4779,961,0,0,4286,4.15712900096993,3.859375,3.97294484911551,1031,448,961
29941,616,726,2224,29379,1232,1598,1668,10971,767,974,855,26375,7.39624228827818,5.53156958648288,3.22611710323575,3566,4498,2596
80482,1048,1668,5077,47052,1048,1668,2671,31232,1335,2527,4884,72689,9.32747337354036,7.73436049749397,2.57100388749142,7793,5387,8746
6034,325,372,372,5260,308,357,263,38478,1488,3197,6233,4965,4.644527595884,4.66810344827586,2.52427184466019,1069,928,10918
44346,557,1128,3524,24274,1114,1128,1315,35454,1557,2883,5864,39137,7.5133422921866,5.82429013213382,2.44079968944099,5209,3557,10304
26625,588,544,2118,24737,1176,1088,1327,20249,1156,1680,2558,23375,7.19230769230769,5.8886104149262,2.75398591027067,3250,3591,5394
2918,204,195,196,118896,1629,3454,7344,10390,612,955,901,2323,3.90420168067227,8.56755451838738,3.20988654781199,595,12427,2468
3834,227,261,253,28660,1082,1126,1683,24464,1139,1973,3644,3093,4.17408906882591,6.36571575430481,2.6210775606868,741,3891,6756
5814,342,347,394,9070,514,528,501,28828,1317,2292,4550,4731,4.36842105263158,4.87815942968244,2.53327613678147,1083,1543,8159
64661,734,1722,4344,6805,437,437,350,10459,673,960,708,57861,8.50897058823529,4.55964052287582,3.46774882528834,6800,1224,2341
7144,409,432,427,40898,1094,1749,2259,50574,1860,4002,8983,5876,4.63406940063091,7.01607212857703,2.40680363758841,1268,5102,14845
3144,208,208,205,7950,490,524,448,11300,730,1063,809,2523,4.06280193236715,4.43775649794802,3.34281322059954,621,1462,2602
58692,564,1317,3948,8062,500,514,430,10982,707,952,850,52863,9.06896551724138,4.58310249307479,3.3770426464727,5829,1444,2509
7632,485,440,488,15518,651,1044,675,7664,509,620,530,6219,4.40127388535032,5.54767932489451,3.61965039180229,1413,2370,1659
55089,569,1635,4340,24361,1138,1090,1563,6255,405,560,461,48545,7.41824572127139,5.42600896860987,3.38639551192146,6544,3791,1426
2841,557,0,0,2933,560,0,0,5715,1155,0,0,2284,4.10053859964093,4.2375,3.94805194805195,557,560,1155
2032,133,135,127,87746,1812,2351,5175,5734,380,525,360,1637,4.14430379746835,8.39665881345042,3.53280632411067,395,9338,1265
56338,610,1774,3885,8752,564,558,444,41512,1834,3432,6843,50069,7.98676024884352,4.58876117496807,2.42819390535965,6269,1566,12109
6838,425,406,428,6200,400,390,357,10520,652,912,908,5579,4.43129467831612,4.40540540540541,3.25566343042071,1259,1147,2472
16839,3094,0,0,2533,511,0,0,15791,3546,0,0,13745,4.44246929541047,3.95694716242661,3.4531866892273,3094,511,3546
44946,576,1052,3296,26480,1152,1052,1438,27924,1360,2117,4318,40022,8.12794476035743,6.27073036792971,2.58229634381013,4924,3642,7795
4960,305,343,340,4186,251,271,227,12352,761,1138,1092,3972,4.02024291497976,4.58878504672897,3.12972250083584,988,749,2991
3533,701,0,0,3095,608,0,0,5701,1183,0,0,2832,4.03994293865906,4.09046052631579,3.81910397295013,701,608,1183
230677,2086,3745,12166,5403,375,334,319,10803,694,926,820,212680,11.8175251430794,4.25583657587549,3.42745901639344,17997,1028,2440
112819,1158,2256,7735,75731,1158,2256,4949,39159,1700,2993,6864,101670,9.11920351601041,8.05548248236279,2.38833607337544,11149,8363,11557
69990,738,1629,4496,4260,274,278,236,4618,326,416,285,63127,9.19816406819175,4.40609137055838,3.49659201557936,6863,788,1027
9089,534,568,552,2557,168,172,146,1645,97,151,102,7435,4.49516324062878,4.26131687242798,3.7,1654,486,350
19243,556,589,1513,14107,620,1178,598,18665,1047,1703,2196,16585,6.23965387509406,4.88772954924875,2.77375657096644,2658,2396,4946
16133,2857,0,0,2617,472,0,0,7497,1475,0,0,13276,4.64683234161708,4.54449152542373,4.08271186440678,2857,472,1475
3643,214,235,250,5191,318,343,316,17725,945,1460,2306,2944,4.21173104434907,4.31320368474923,2.76247081299087,699,977,4711
30369,587,801,2352,11697,587,982,521,8611,595,757,665,26629,7.12005347593583,4.59665071770335,3.26921170054536,3740,2090,2017
8871,1533,0,0,6349,1213,0,0,11117,2249,0,0,7338,4.7866927592955,4.23413025556472,3.94308581591819,1533,1213,2249
9240,1597,0,0,6934,1236,0,0,10152,2035,0,0,7643,4.78584846587351,4.61003236245955,3.98869778869779,1597,1236,2035
16069,2909,0,0,1299,276,0,0,3387,684,0,0,13160,4.52389137160536,3.70652173913043,3.95175438596491,2909,276,684
45795,539,1006,3206,13115,539,1006,548,13143,813,1056,1191,41044,8.63902336350242,5.26612517916866,3.29509803921569,4751,2093,3060
18438,576,554,1400,22226,1097,1108,1119,20226,1108,1650,2477,15908,6.28774703557312,5.68652226233454,2.86361031518625,2530,3324,5235
5075,289,327,325,9313,523,588,517,7515,452,732,490,4134,4.39319872476089,4.72051597051597,3.48924731182796,941,1628,1674
5439,364,349,342,5611,380,368,304,2665,171,246,154,4384,4.15545023696683,4.33365019011407,3.66725043782837,1055,1052,571
5022,293,325,350,27564,986,1296,1752,1606,97,139,111,4054,4.18801652892562,5.8329201784829,3.62824207492795,968,4034,347
8064,446,473,440,2994,193,203,159,2544,150,231,158,6705,4.93377483443709,4.39459459459459,3.71985157699443,1359,555,539
1168,84,65,71,55550,1098,1958,3270,4146,262,374,252,948,4.30909090909091,7.78122036041733,3.66891891891892,220,6326,888
6011,1152,0,0,7065,1336,0,0,4735,963,0,0,4859,4.21788194444444,4.28817365269461,3.91692627206646,1152,1336,963
,755.66,661.02,1686.07,,901.51,783.54,1171.63,,907.79,813.36,1159.39,,5.8677324178435,5.33372683956511,3.38840002755402,Avg,,
